Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-22,01:57:45,4800000000,111.777,42942644,21471322,78m,7,7,16g,2,8,4g,lz4,15k,91k,59k,75m,0.44,0.19,82m,org.apache.spark.serializer.JavaSerializer,37k,0.84,423,0.48,105m,0.57
ScalaSparkTerasort,2023-04-22,02:09:23,4800000000,132.405,36252407,18126203,13m,8,6,6g,8,2,16g,lz4,54k,90k,9k,15m,0.74,0.2,27m,org.apache.spark.serializer.JavaSerializer,42k,0.23,334,0.32,51m,0.26
ScalaSparkTerasort,2023-04-22,02:20:22,4800000000,151.381,31708074,15854037,81m,2,2,7g,8,2,16g,snappy,88k,99k,115k,12m,0.33,0.27,20m,org.apache.spark.serializer.JavaSerializer,5k,0.32,473,0.22,7m,0.6
ScalaSparkTerasort,2023-04-22,02:33:33,4800000000,126.818,37849516,18924758,92m,15,7,4g,8,2,16g,lzf,111k,52k,107k,57m,0.69,0.16,105m,org.apache.spark.serializer.JavaSerializer,50k,0.39,62,0.15,220m,0.6
ScalaSparkTerasort,2023-04-22,02:44:03,4800000000,107.982,44451853,22225926,109m,15,7,5g,4,4,8g,lzf,18k,113k,111k,102m,0.64,0.22,120m,org.apache.spark.serializer.JavaSerializer,21k,0.81,514,0.78,367m,0.3
ScalaSparkTerasort,2023-04-22,02:54:26,4800000000,103.335,46450863,23225431,52m,9,2,6g,4,4,8g,snappy,87k,4k,63k,95m,0.53,0.84,50m,org.apache.spark.serializer.KryoSerializer,73k,0.46,118,0.52,196m,0.39
ScalaSparkTerasort,2023-04-22,03:05:50,4800000000,121.962,39356520,19678260,120m,15,3,7g,4,4,8g,lzf,107k,56k,35k,80m,0.35,0.72,22m,org.apache.spark.serializer.KryoSerializer,76k,0.65,204,0.54,92m,0.61
ScalaSparkTerasort,2023-04-22,03:17:28,4800000000,122.116,39306888,19653444,9m,12,5,16g,8,2,16g,lzf,55k,63k,68k,86m,0.14,0.3,103m,org.apache.spark.serializer.KryoSerializer,117k,0.35,50,0.71,403m,0.16
ScalaSparkTerasort,2023-04-22,03:38:07,4800000000,127.911,37526092,18763046,80m,4,2,7g,2,8,4g,snappy,65k,71k,7k,60m,0.82,0.89,94m,org.apache.spark.serializer.JavaSerializer,115k,0.85,153,0.86,203m,0.46
ScalaSparkTerasort,2023-04-22,03:49:30,4800000000,130.536,36771465,18385732,25m,12,1,5g,8,2,16g,snappy,8k,56k,74k,91m,0.88,0.44,38m,org.apache.spark.serializer.KryoSerializer,98k,0.47,568,0.9,88m,0.11
ScalaSparkTerasort,2023-04-22,04:00:49,4800000000,118.458,40520690,20260345,50m,13,1,8g,2,8,4g,lzf,126k,96k,27k,69m,0.56,0.25,98m,org.apache.spark.serializer.JavaSerializer,65k,0.85,118,0.73,464m,0.55
ScalaSparkTerasort,2023-04-22,04:12:04,4800000000,119.363,40213466,20106733,110m,6,8,6g,2,8,4g,lz4,9k,40k,85k,119m,0.8,0.18,54m,org.apache.spark.serializer.KryoSerializer,68k,0.58,164,0.7,204m,0.16
ScalaSparkTerasort,2023-04-22,04:22:59,4800000000,117.757,40761907,20380953,23m,13,1,5g,4,4,8g,lzf,92k,60k,96k,106m,0.54,0.32,117m,org.apache.spark.serializer.JavaSerializer,13k,0.1,383,0.41,483m,0.15
ScalaSparkTerasort,2023-04-22,04:33:38,4800000000,123.225,38953134,19476567,61m,12,6,4g,8,2,16g,lz4,6k,83k,100k,60m,0.85,0.74,2m,org.apache.spark.serializer.KryoSerializer,25k,0.63,408,0.18,456m,0.68
ScalaSparkTerasort,2023-04-22,04:44:29,4800000000,120.27,39910202,19955101,68m,16,5,6g,8,2,16g,lz4,93k,9k,22k,29m,0.43,0.51,68m,org.apache.spark.serializer.JavaSerializer,50k,0.6,184,0.26,121m,0.36
